i0,i1,i2,i3,i4,i5,i6,i7,i8,i9
-103.4434,-132.0126,-142.8491,-107.7041,-73.32325,30.64502,125.2196,212.0552,161.9082,29.52637
-85.66553,-133.4194,-114.2627,-77.29883,-31.28711,99.66651,193.4204,176.2627,52.29883,-79.71191
171.9131,102.3203,9.71582,-67.41406,-97.02698,-106.5102,-105.9141,-46.31055,9.82373,129.4314
-116.4101,-130.9429,-123.5762,-74.41308,-3.664063,115.8176,213.3476,156.9814,46.81836,-83.92969
102.2349,203.7942,228.9922,109.5127,-57.41992,-159.2383,-172.7981,-148.9912,-99.5127,-6.577148
-46.72949,59.75293,221.6862,284.4575,220.6592,24.52637,-138.9546,-210.8762,-239.6641,-174.8603
-228.998,-102.7959,57.80273,237.1204,357.5215,254.998,69.7959,-109.8027,-239.1208,-296.52
-168.9277,-57.66602,96.84278,250.7266,294.042,165.7246,10.46289,-148.0474,-222.931,-220.2446
-361.6348,-376.7563,-269.7832,-104.9365,146.2266,353.6357,451.7568,317.7842,55.93652,-212.2275
32.15442,86.37842,50.68848,6.227539,16.76416,3.841675,-28.38135,-56.68848,-77.22852,-33.76318
46.61231,-80.23438,-150.7649,-184.3672,-151.9502,-96.61133,25.23535,174.7602,231.3677,185.9502
-170.3291,-104.8447,-19.73535,97.25245,237.5742,241.5332,130.0469,-65.06153,-151.0503,-195.3701
-98.26026,-102.0256,-88.56445,-58.16211,-23.57227,47.85205,154.6233,162.1562,57.75586,-51.83496
41.30371,66.44825,75.37085,32.50781,-61.11133,-104.0986,-90.24121,-17.16382,31.69629,25.31543
74.73242,79.32519,4.735352,-33.63477,-20.07751,-20.32471,-67.91894,-60.33008,-22.9541,66.4848
20.03223,101.3687,133.8555,35.36231,-7.954102,-28.62988,-53.96045,-77.44531,-72.95508,-49.63965
153.9658,42.85058,-42.38965,-84.87329,-103.2976,-103.375,-81.25684,-27.01758,70.46289,174.8923
-10.43457,-21.23718,-24.37891,-49.97266,-70.2959,-34.36426,52.4386,96.58008,66.17676,-4.501953
-9.440308,-40.58203,-37.17578,-61.4961,-12.56738,64.23547,94.38184,58.97363,-29.70801,-26.63769
12.53711,37.55762,105.2332,90.31054,22.69727,-35.33398,-97.35156,-105.0317,-31.10645,0.5058594
71.93067,-80.90235,-153.5034,-157.0614,-99.59668,-11.33691,23.49609,86.09571,157.654,163.1919
-82.7616,-50.29395,-16.03125,4.801758,58.40723,102.9664,105.498,31.23828,-39.59961,-114.2012
-85.47852,-79.01514,-46.6399,21.09473,41.19531,19.47559,62.01172,59.64172,34.90625,-27.19531
136.4155,121.2627,60.29883,-15.7168,-78.66553,-85.41944,-108.2656,-84.29883,-25.28711,79.6665
-40.16895,36.8772,121.8767,121.5361,49.40625,-24.42285,-67.46924,-70.46314,-62.12598,-65
39.76758,11.98633,16.91309,32.51367,40.11133,6.826172,-59.3916,-75.32227,-31.91333,18.4834
-82.91895,-88.53266,-99.01465,-90.41602,-73.80859,32.32813,149.9399,177.4219,102.8232,-27.78613
-47.3291,35.04028,99.52685,115.7236,41.36621,-28.08008,-46.45044,-46.93213,-63.13477,-59.77246
36.10742,3.083984,17.43213,26.50903,18.6543,-29.9043,-78.87891,-67.2334,12.69507,61.54981
99.01172,51.02051,-42.64746,-57.10254,-76.74939,-53.6084,-44.61426,-38.9502,48.51172,115.1539
111.1475,47.10059,-51.74121,-73.18701,-59.99317,-76.15039,-74.10058,-9.258789,40.1853,145.9917
164.8354,148.5146,29.56641,-59.92285,-97.3147,-109.8389,-107.5176,-74.56738,2.927734,103.3157
-118.7958,-144.396,-103.0723,-20.00391,51.86328,161.5909,186.1958,120.8701,-25.2002,-109.0684
84.21399,173.436,93.50879,29.25781,-54.52148,-99.21228,-86.43897,-83.50781,-47.25781,-9.478027
15.97461,9.226074,45.61664,23.53906,-31.32129,-68.97266,-78.22461,-7.615601,46.45947,45.32129
70.23633,-22.75488,-66.81201,-88.47315,-88.75587,-65.44043,-46.44922,50.60498,125.2682,132.5508
-36.76758,135.5146,252.6481,285.3306,173.7529,-17.63867,-165.9194,-239.0525,-238.7353,-149.1602
174.1606,138.3623,8.229492,-88.25147,-107.173,-107.9561,-137.1572,-54.02637,34.45117,139.3772
-174.6709,-95.6084,35.00195,161.7671,269.0327,223.0801,86.01465,-82.59668,-197.3623,-224.625
100.5176,75.28418,19,-46.17676,-42.21363,-75.11475,-67.87988,-36.59375,-10.41406,83.61816
27.16016,-36.146,-70.09534,-94.70508,-91.01855,-89.36231,-14.05615,74.88758,147.5034,145.8154
-110.5518,-116.6348,-120.4922,-103.1123,-38.09863,90.75879,194.8389,199.6963,70.31543,-66.69922
-125.6631,-172.6812,-172.1177,-121.4775,-53.57812,77.25928,189.2759,238.7124,158.0723,-17.82813
-157.8994,-121.4922,-76.53906,44.95069,176.0016,219.104,148.6953,16.74219,-104.7476,-144.7963
21.01514,64.67554,78.46777,61.1875,-23.82227,-31.42529,-34.08569,-54.87305,-40.59375,-40.58203
-33.29395,7.02002,56.42383,101.9014,28.69336,-4.908203,-13.22656,-26.63037,-45.10352,-70.89746
228.9189,95.90528,-67.67578,-142.7607,-200.3918,-195.5156,-105.499,-0.9189453,143.1655,244.8018
136.1191,199.6431,169.3174,35.36328,-85.13379,-135.5234,-167.0474,-139.7207,-59.76953,46.72559
102.8076,264.9586,325.0396,210.0908,-7.00293,-163.2168,-251.3688,-237.4443,-189.4961,-54.40235
174.6614,265.5894,194.2041,40.23242,-103.7471,-179.0715,-199.999,-172.6103,-66.6377,47.34375
140.1128,277.4629,257.9726,160.8145,-51.70801,-187.9131,-242.2637,-218.7681,-127.6103,-8.089844
119.0371,327.4348,433.958,334.6221,79.66797,-185.832,-342.2297,-391.748,-289.4219,-85.46485
-396.4248,-306.2685,-96.29883,140.7197,355.6748,446.4282,332.2695,89.29883,-198.7207,-366.6763
325.2627,98.29883,-164.7168,-311.6655,-363.4194,-295.2656,-117.2988,94.7129,313.6721,420.4204
-209.7539,-348.1722,-374.0337,-259.249,-87.83203,167.3477,354.7671,429.6279,308.8408,18.42676
141.7696,203.2168,149.8652,32.75293,-83.65625,-134.7679,-157.2202,-121.8643,-66.75293,36.65527
-137.9746,-8.291016,147.6406,308.4442,282.585,140.1777,-47.50586,-202.4385,-257.241,-225.3818
168.5322,291.8686,254.3555,76.86231,-79.4541,-197.1299,-224.4604,-220.9453,-116.4551,46.86035
146.5156,-59.08887,-173.2236,-233.8317,-197.3149,-131.7187,-32.11328,125.019,272.6324,283.1147
-239.5596,-166.4805,-40.32129,102.5596,263.2546,318.1519,193.0752,-5.086914,-178.9658,-246.6581
91.31152,231.3022,311.3354,199.8926,33.05078,-135.3145,-234.3061,-225.3335,-198.8975,-73.05078
239.1181,10.94531,-180.5273,-275.3267,-269.875,-189.9141,-73.74121,126.7285,258.5365,354.0791
320.1904,342.7959,184.4727,-61.59863,-210.4663,-283.1942,-283.7944,-171.4707,-23.40235,186.4648
-212.0964,-217.9595,-184.4414,-101.8652,57.71778,198.0974,292.9575,230.4404,49.86426,-112.7158
119.5171,256.1303,270.6177,152.0185,-59.58887,-169.7236,-204.3373,-222.8193,-142.2207,0.3867188
9.950195,176.4136,315.0616,325.9101,154.9189,-92.74902,-223.209,-275.8509,-252.71,-137.7158
209.1317,303.2266,195.2236,52.62109,-150.2148,-213.5417,-231.6362,-182.6289,-60.02735,77.80664
79.21192,239.7388,305.7861,230.8643,41.40527,-176.6201,-237.1431,-246.1855,-190.2725,-46.8125
214.3779,84.22363,-85.44825,-172.2397,-209.5396,-167.581,-94.42676,28.24512,146.0325,256.3376
189.3643,29.40039,-138.6152,-206.5639,-211.3179,-147.1641,-46.19727,84.81445,191.7737,254.522
-89.53418,29.4209,169.781,253.8921,229.5674,73.53418,-80.42285,-186.781,-222.8938,-176.5664
-15.61231,56.02808,105.3467,42.84473,-14.75879,-30.18799,-17.82886,-30.14307,-35.64356,-60.03613
-53.6167,2.758545,64.49317,49.59375,15.87402,11.41016,15.03442,-9.695313,-30.79785,-65.07617
-43.02539,-185.7739,-214.3834,-206.4609,-160.3213,-17.97266,142.7754,268.3844,293.4595,123.3213
-136.6611,-49.2666,96.01172,232.1559,256.834,157.2568,-23.13965,-135.4194,-191.5624,-206.2388
-196.1318,-176.8164,-136.7393,-59.61035,66.15039,194.5393,244.2207,194.1455,8.015625,-137.7441
-168.9394,-57.4668,53.57422,187.2278,277.6233,226.9385,65.4668,-123.5762,-237.23,-223.6228
-275.8813,-165.1904,-11.72852,155.7417,337.6622,346.8823,197.1904,-36.27148,-229.7427,-318.6606
-404.9624,-446.7163,-326.5596,-90.5957,147.416,396.3696,498.1235,378.9658,83.00196,-235.0088
-0.2861328,-211.4531,-291.5122,-288.4375,-181.6943,-21.91504,136.2505,306.3044,344.2348,208.4912
-153.5107,53.45313,264.917,393.4795,343.5244,149.5107,-104.4541,-305.918,-348.4797,-292.5234
16.73438,-202.4277,-334.8379,-356.9541,-259.9834,-96.14062,158.0234,356.427,422.5488,296.5781
329.7065,213.0215,4.360352,-199.9517,-286.8922,-261.5068,-185.8174,-42.15918,135.1514,294.0964
-241.4858,-268.3301,-203.9297,-102.1729,58.81445,215.2834,330.1279,277.7275,70.96973,-137.0185
42.4292,66.81409,70.74219,-20.11914,-74.76953,-79.02149,-25.40961,17.6626,-1.475586,3.176758
-201.8914,-178.9688,-112.8516,2.388672,172.8635,276.2986,254.375,75.25684,-87.98243,-199.4597
-58.30176,-167.8979,-186.4534,-127.9971,-46.73438,26.09863,102.6963,188.2521,187.79,82.53222
-37.08008,-1.741211,111.9468,186.0062,178.3916,70.08106,-82.25879,-162.9502,-154.0023,-108.3926
-66.19043,-21.54248,54.3855,106.2373,67.80176,-1.214844,-9.862305,-38.78443,-40.64649,-50.20801
-53.71778,-195.0596,-226.816,-209.3149,-107.3359,-20.28027,140.0605,262.8171,272.3159,137.3359
159.9092,151.8398,20.71192,-98.04004,-114.4253,-136.1104,-94.042,-55.91504,27.8418,138.2234
174.2769,94.58692,-42.87403,-134.3374,-139.2599,-127.4829,-62.79199,-14.33008,80.14014,172.0578
-4.762695,-138.1777,-131.7981,-80.93554,-28.45313,17.96582,28.37988,113.9995,136.1379,87.65723
-38.42969,-33.05713,-2.959717,-20.33008,-33.59473,-31.77051,14.85498,66.75781,69.12793,9.391602
106.7529,-28.63867,-127.9194,-157.0525,-155.7353,-110.1601,-32.76855,87.50977,186.6502,231.3276
-41.03027,44.95996,144.9094,171.062,80.93946,-23.37598,-98.36963,-114.3139,-93.4668,-71.34668
200.9326,65.19727,-111.6309,-168.2578,-180.1604,-146.5293,-70.79004,21.03418,142.6621,247.5649
98.02051,-74.64746,-193.1074,-194.7494,-174.6084,-98.61426,-0.9472656,152.5117,239.1595,247.0142
-49.16894,-95.979,-65.57397,-67.20508,-52.54102,-12.03418,47.77978,139.3745,123.0039,32.33789
122.8765,76.91504,-5.257813,-49.73047,-61.52978,-65.07813,-81.11719,-34.94531,9.525391,88.32764
-35.20801,-29.55701,-37.06445,-28.91309,-44.39746,4.802734,54.15185,89.65869,61.50684,-35.00879
-95.46826,-59.33203,-23.63477,69.38574,143.8617,173.876,70.7373,-57.95898,-99.98096,-121.4543
-3.905273,98.96338,185.6904,196.2959,118.9697,-43.09766,-146.9663,-161.6886,-145.2944,-98.97071
92.8418,15.57031,-80.82129,-73.06507,-62.41065,-92.6377,-47.36719,3.023438,96.26636,148.6123
-106.3281,-197.3589,-204.0522,-135.8613,-48.63183,53.73731,163.7663,247.4624,197.2685,30.03809
-98.97461,41.00684,191.0386,302.8337,244.1709,72.77149,-126.209,-222.2432,-225.0371,-179.3721
-36.41406,49.59912,187.0858,228.4229,137.6523,-4.992188,-140.0039,-160.4903,-161.832,-99.05762
-43.18164,-17.71826,54.65698,62.3916,37.49219,-8.227539,-22.69141,-30.0614,-17.79688,-14.89844
-54.96289,-46.39746,9.935059,88.52076,90.6504,46.96289,-25.60449,-44.93604,-24.52344,-39.65039
54.71582,-28.2168,-47.03516,-51.58936,-66.78516,-59.30957,-28.37402,31.43701,91.99658,103.1914
