ID, Amp, Shift, Voltage, Temp, Humidity 
161, 11991, 7.2, 12.32, 21.09064, 56.85359 
162, 11992, 7.2, 12.32, 21.07729, 56.85207 
163, 11977, 7.2, 12.32, 21.09064, 56.82002 
164, 11981, 7.2, 12.32, 21.09064, 56.84291 
165, 11962, 7.2, 12.32, 21.09064, 56.8658 
166, 11942, 7.2, 12.32, 21.10666, 56.79713 
167, 11948, 7.2, 12.33, 21.09064, 56.76051 
168, 11977, 7.2, 12.33, 21.07729, 56.74678 
169, 11961, 7.2, 12.32, 21.09064, 56.7483 
170, 11921, 7.2, 12.32, 21.09064, 56.76051 
171, 11876, 7.2, 12.31, 21.07729, 56.73457 
172, 11877, 7.2, 12.31, 21.09064, 56.77119 
173, 11858, 7.19, 12.31, 21.09064, 56.76051 
174, 11815, 7.2, 12.31, 21.07729, 56.73457 
175, 11794, 7.2, 12.3, 21.09064, 56.701 
176, 11814, 7.19, 12.3, 21.07729, 56.67506 
177, 11803, 7.19, 12.29, 21.09064, 56.6888 
178, 11808, 7.19, 12.3, 21.07729, 56.72389 
179, 11819, 7.2, 12.3, 21.07729, 56.65217 
180, 11834, 7.2, 12.31, 21.09064, 56.64302 
181, 11877, 7.2, 12.31, 21.07729, 56.61555 
182, 11912, 7.2, 12.31, 21.09064, 56.58351 
183, 11906, 7.2, 12.32, 21.09064, 56.58351 
184, 11928, 7.2, 12.32, 21.09064, 56.6064 
185, 11943, 7.2, 12.33, 21.13336, 56.61403 
186, 11948, 7.2, 12.32, 21.13336, 56.61403 
187, 11959, 7.2, 12.33, 21.09064, 56.6064 
188, 11962, 7.2, 12.33, 21.09064, 56.6064 
189, 11958, 7.2, 12.33, 21.10666, 56.60945 
190, 11974, 7.2, 12.33, 21.12001, 56.62318 
191, 11945, 7.2, 12.33, 21.10666, 56.58656 
192, 11939, 7.19, 12.33, 21.10666, 56.58656 
193, 11937, 7.2, 12.33, 21.10666, 56.56367 
194, 11954, 7.2, 12.33, 21.12001, 56.55452 
195, 11936, 7.2, 12.33, 21.10666, 56.55147 
196, 11929, 7.2, 12.33, 21.10666, 56.54078 
197, 11935, 7.2, 12.33, 21.10666, 56.56367 
198, 11935, 7.2, 12.33, 21.12001, 56.57741 
199, 11932, 7.2, 12.33, 21.12001, 56.58809 
200, 11904, 7.2, 12.33, 21.09064, 56.58351 
201, 11939, 7.19, 12.33, 21.13336, 56.55604 
202, 11946, 7.19, 12.33, 21.10666, 56.48128 
203, 11989, 7.19, 12.33, 21.10666, 56.50416 
204, 11991, 7.19, 12.33, 21.12001, 56.47212 
205, 12027, 7.19, 12.32, 21.12001, 56.45991 
206, 12033, 7.19, 12.32, 21.10666, 56.45839 
207, 12022, 7.19, 12.32, 21.10666, 56.45839 
208, 12019, 7.19, 12.32, 21.12001, 56.47212 
209, 12034, 7.19, 12.31, 21.13336, 56.46297 
210, 12040, 7.19, 12.32, 21.12001, 56.47212 
211, 12036, 7.19, 12.32, 21.12001, 56.43549 
212, 12009, 7.19, 12.32, 21.14672, 56.4767 
213, 12008, 7.19, 12.31, 21.12001, 56.42328 
214, 12004, 7.2, 12.31, 21.16274, 56.43091 
215, 11990, 7.2, 12.31, 21.12001, 56.40039 
216, 11967, 7.2, 12.31, 21.13336, 56.40345 
217, 11935, 7.2, 12.31, 21.10666, 56.43549 
218, 11935, 7.2, 12.32, 21.10666, 56.46907 
219, 11934, 7.2, 12.32, 21.12001, 56.4828 
220, 11955, 7.2, 12.32, 21.09064, 56.51332 
221, 11947, 7.2, 12.32, 21.09064, 56.57283 
222, 11974, 7.2, 12.31, 21.09064, 56.58351 
223, 11959, 7.2, 12.32, 21.09064, 56.6186 
224, 11925, 7.2, 12.32, 21.10666, 56.65675 
225, 11942, 7.2, 12.32, 21.10666, 56.70253 
226, 11968, 7.2, 12.32, 21.09064, 56.66591 
227, 12017, 7.2, 12.32, 21.09064, 56.71168 
228, 12018, 7.2, 12.33, 21.07729, 56.71016 
229, 11985, 7.2, 12.33, 21.09064, 56.72542 
230, 11985, 7.2, 12.33, 21.09064, 56.6888 
231, 11951, 7.2, 12.32, 21.09064, 56.6186 
232, 11954, 7.2, 12.33, 21.07729, 56.65217 
233, 11976, 7.2, 12.33, 21.09064, 56.701 
234, 11998, 7.2, 12.33, 21.07729, 56.71016 
235, 11993, 7.2, 12.32, 21.10666, 56.71626 
236, 11956, 7.2, 12.32, 21.07729, 56.71016 
237, 11939, 7.2, 12.32, 21.09064, 56.6888 
238, 11943, 7.2, 12.32, 21.10666, 56.70253 
239, 11968, 7.2, 12.32, 21.07729, 56.69795 
240, 11972, 7.2, 12.33, 21.10666, 56.70253 
241, 11969, 7.2, 12.34, 21.10666, 56.65675 
242, 11958, 7.2, 12.33, 21.10666, 56.69185 
243, 11955, 7.2, 12.33, 21.10666, 56.67964 
244, 11930, 7.19, 12.33, 21.07729, 56.69795 
245, 11939, 7.19, 12.33, 21.07729, 56.72389 
246, 11965, 7.19, 12.33, 21.07729, 56.69795 
247, 11972, 7.19, 12.33, 21.09064, 56.701 
248, 11973, 7.19, 12.32, 21.07729, 56.67506 
249, 11978, 7.19, 12.32, 21.09064, 56.6888 
250, 11951, 7.19, 12.32, 21.06394, 56.68422 
251, 11959, 7.19, 12.32, 21.06394, 56.68422 
252, 11951, 7.19, 12.32, 21.06394, 56.71016 
