ID, Amp, Shift, Vlotage, Temp, Humidity 
151, 15, 2.71, 12.09, 17.66727, 80.71871 
152, 18, 2.53, 12.1, 17.68063, 80.76296 
153, 18, 3.1, 12.1, 17.66727, 80.82857 
154, 18, 3.57, 12.1, 17.66727, 80.92012 
155, 18, 3.93, 12.11, 17.66727, 81.01168 
156, 19, 4.71, 12.11, 17.69398, 81.05745 
157, 18, 5.33, 12.11, 17.65392, 81.09865 
158, 15, 5.96, 12.1, 17.66727, 81.11238 
159, 10, 6.69, 12.11, 17.66727, 81.12154 
160, 7, 7.3, 12.11, 17.65392, 81.12001 
161, 4, 7.82, 12.11, 17.66727, 81.16274 
162, 1, 8.48, 12.11, 17.66727, 81.1429 
163, 1, 8.31, 12.1, 17.68063, 81.16579 
164, 1, 8.1, 12.09, 17.66727, 81.1429 
165, 1, 8.19, 12.09, 17.66727, 81.12154 
166, 1, 8.14, 12.1, 17.65392, 81.0895 
167, 0, 7.97, 12.1, 17.65392, 81.06966 
168, 1, 8.01, 12.1, 17.65392, 81.06966 
169, 1, 7.76, 12.1, 17.65392, 81.0483 
170, 1, 7.52, 12.1, 17.66727, 81.04219 
171, 1, 7.5, 12.1, 17.66727, 80.97048 
172, 1, 7.38, 12.1, 17.65392, 81.0071 
173, 0, 7.5, 12.11, 17.65392, 80.96895 
174, 0, 7.46, 12.11, 17.65392, 80.96895 
175, 1, 7.46, 12.11, 17.66727, 80.94149 
176, 1, 7.25, 12.11, 17.65392, 80.92775 
177, 1, 7.21, 12.11, 17.65392, 80.94759 
178, 1, 7.0, 12.11, 17.66727, 80.86977 
179, 1, 7.22, 12.11, 17.66727, 80.90029 
180, 1, 7.24, 12.11, 17.65392, 80.8774 
181, 1, 7.28, 12.12, 17.65392, 80.88655 
182, 1, 7.29, 12.11, 17.6379, 80.86367 
183, 1, 7.16, 12.12, 17.65392, 80.8362 
184, 1, 7.1, 12.12, 17.65392, 80.8362 
185, 1, 6.96, 12.12, 17.65392, 80.82705 
186, 1, 6.96, 12.12, 17.62455, 80.79042 
187, 1, 7.03, 12.13, 17.6379, 80.79195 
188, 1, 6.9, 12.13, 17.62455, 80.74923 
189, 1, 6.7, 12.13, 17.6379, 80.77211 
190, 1, 6.79, 12.12, 17.6379, 80.76296 
191, 1, 6.28, 12.12, 17.62455, 80.71871 
192, 3, 5.73, 12.12, 17.62455, 80.70955 
193, 6, 5.36, 12.12, 17.62455, 80.69887 
194, 9, 5.03, 12.12, 17.6379, 80.72176 
195, 12, 4.61, 12.12, 17.62455, 80.70955 
196, 14, 4.27, 12.12, 17.62455, 80.76906 
197, 15, 4.3, 12.12, 17.62455, 80.75991 
198, 15, 4.45, 12.12, 17.62455, 80.79958 
199, 15, 4.48, 12.12, 17.6379, 80.8423 
200, 15, 4.46, 12.12, 17.6112, 80.84688 
201, 15, 4.92, 12.12, 17.6112, 80.83773 
202, 12, 5.47, 12.12, 17.6112, 80.88808 
203, 10, 6.02, 12.12, 17.6112, 80.88808 
204, 7, 6.4, 12.12, 17.6112, 80.89724 
205, 4, 6.76, 12.12, 17.6379, 80.91402 
206, 2, 7.26, 12.12, 17.62455, 80.89113 
207, 1, 7.17, 12.12, 17.6112, 80.90944 
208, 1, 7.16, 12.12, 17.62455, 80.91097 
209, 1, 7.27, 12.12, 17.62455, 80.94149 
210, 1, 7.29, 12.12, 17.6112, 80.9598 
211, 1, 7.32, 12.11, 17.6112, 80.97963 
212, 1, 7.26, 12.11, 17.62455, 80.94149 
213, 1, 7.15, 12.11, 17.6112, 80.9186 
214, 1, 7.2, 12.11, 17.6112, 80.92928 
215, 1, 7.2, 12.11, 17.6112, 80.9186 
216, 1, 7.09, 12.09, 17.62455, 80.94149 
217, 1, 7.01, 12.1, 17.6112, 80.90944 
218, 1, 7.05, 12.1, 17.62455, 80.94149 
219, 1, 6.99, 12.1, 17.6379, 80.91402 
220, 1, 7.01, 12.09, 17.6112, 80.90944 
221, 1, 7.03, 12.1, 17.59785, 80.88655 
222, 1, 6.92, 12.09, 17.57915, 80.87282 
223, 1, 6.97, 12.09, 17.62455, 80.89113 
224, 1, 6.94, 12.1, 17.59785, 80.87435 
225, 1, 7.0, 12.1, 17.59785, 80.89571 
226, 1, 7.04, 12.1, 17.59785, 80.89571 
227, 1, 7.01, 12.1, 17.6112, 80.90944 
228, 1, 6.99, 12.09, 17.59785, 80.87435 
229, 2, 6.9, 12.09, 17.62455, 80.84993 
230, 2, 6.8, 12.09, 17.59785, 80.86519 
231, 2, 6.64, 12.09, 17.57915, 80.85146 
232, 2, 6.68, 12.09, 17.59785, 80.88655 
233, 2, 6.58, 12.09, 17.6112, 80.83773 
234, 2, 6.63, 12.08, 17.59785, 80.82399 
235, 2, 6.58, 12.07, 17.6112, 80.8774 
236, 2, 6.57, 12.07, 17.57915, 80.87282 
237, 2, 6.65, 12.07, 17.59785, 80.8362 
238, 2, 6.51, 12.07, 17.57915, 80.84078 
239, 2, 6.55, 12.07, 17.57915, 80.86061 
240, 2, 6.55, 12.07, 17.57915, 80.88198 
241, 2, 6.64, 12.07, 17.5658, 80.86824 
242, 2, 6.67, 12.06, 17.5658, 80.90944 
243, 1, 6.74, 12.06, 17.59785, 80.90487 
244, 2, 6.65, 12.07, 17.57915, 80.92318 
245, 2, 6.66, 12.07, 17.5658, 80.90029 
246, 3, 6.26, 12.07, 17.59785, 80.91555 
247, 6, 5.81, 12.07, 17.57915, 80.93233 
248, 8, 5.45, 12.07, 17.5658, 80.93843 
249, 11, 5.0, 12.07, 17.5658, 80.9186 
250, 14, 4.63, 12.07, 17.5658, 80.92928 
251, 17, 4.16, 12.07, 17.55245, 80.9659 
252, 18, 4.18, 12.07, 17.5658, 81.08034 
253, 18, 4.06, 12.07, 17.57915, 81.16274 
254, 17, 3.94, 12.06, 17.59785, 81.26802 
255, 17, 3.78, 12.07, 17.55245, 81.30007 
256, 16, 3.98, 12.07, 17.59785, 81.36873 
257, 13, 4.25, 12.07, 17.55245, 81.40993 
258, 10, 4.51, 12.07, 17.57915, 81.48776 
259, 7, 4.75, 12.07, 17.5658, 81.46335 
260, 4, 4.98, 12.07, 17.57915, 81.48776 
261, 1, 5.22, 12.07, 17.5658, 81.47403 
262, 1, 4.98, 12.08, 17.55245, 81.49081 
263, 1, 4.9, 12.08, 17.57915, 81.51828 
264, 1, 4.9, 12.08, 17.55245, 81.49081 
265, 1, 4.87, 12.08, 17.57915, 81.48776 
266, 1, 4.9, 12.08, 17.5658, 81.46335 
267, 1, 4.87, 12.08, 17.5658, 81.48318 
268, 1, 4.86, 12.08, 17.5658, 81.5137 
269, 1, 4.85, 12.08, 17.5658, 81.45419 
270, 1, 4.86, 12.08, 17.5658, 81.48318 
271, 1, 4.87, 12.08, 17.5658, 81.43282 
272, 1, 4.88, 12.09, 17.5391, 81.46792 
273, 1, 4.88, 12.09, 17.57915, 81.42672 
274, 1, 4.88, 12.09, 17.5658, 81.42366 
275, 1, 4.91, 12.1, 17.5658, 81.39467 
276, 1, 4.89, 12.1, 17.5658, 81.40383 
277, 1, 4.87, 12.1, 17.55245, 81.35958 
278, 1, 4.89, 12.11, 17.55245, 81.37178 
279, 1, 4.89, 12.11, 17.5658, 81.37331 
280, 1, 4.65, 12.1, 17.57915, 81.355 
281, 1, 4.62, 12.1, 17.5658, 81.34432 
282, 0, 4.61, 12.1, 17.5391, 81.36721 
283, 0, 4.63, 12.1, 17.5658, 81.38247 
284, 1, 4.63, 12.09, 17.57915, 81.42672 
285, 1, 4.61, 12.09, 17.5658, 81.39467 
286, 1, 4.62, 12.09, 17.5391, 81.38704 
287, 1, 4.64, 12.1, 17.57915, 81.3962 
288, 1, 4.63, 12.09, 17.55245, 81.44045 
289, 1, 4.65, 12.1, 17.5391, 81.38704 
290, 1, 4.85, 12.1, 17.52308, 81.40383 
291, 1, 4.88, 12.1, 17.55245, 81.40993 
292, 1, 4.86, 12.1, 17.5391, 81.37789 
293, 1, 4.8, 12.1, 17.5391, 81.38704 
294, 1, 4.72, 12.11, 17.52308, 81.43587 
295, 1, 4.73, 12.11, 17.5391, 81.41756 
296, 1, 4.68, 12.11, 17.55245, 81.43129 
297, 0, 4.69, 12.1, 17.5391, 81.41756 
298, 0, 4.69, 12.11, 17.55245, 81.46029 
299, 0, 4.63, 12.11, 17.52308, 81.45419 
300, 0, 4.66, 12.11, 17.52308, 81.44503 
301, 1, 4.67, 12.11, 17.55245, 81.45114 
302, 1, 4.7, 12.11, 17.55245, 81.45114 
303, 1, 4.7, 12.11, 17.5391, 81.4374 
304, 1, 4.76, 12.11, 17.5391, 81.45877 
305, 1, 4.76, 12.11, 17.5391, 81.46792 
306, 1, 4.81, 12.12, 17.52308, 81.46487 
307, 1, 4.8, 12.12, 17.55245, 81.44045 
308, 1, 4.8, 12.12, 17.5391, 81.48776 
309, 1, 4.87, 12.12, 17.5391, 81.47861 
310, 1, 4.92, 12.12, 17.5391, 81.48776 
311, 2, 4.69, 12.12, 17.5391, 81.46792 
312, 4, 4.46, 12.12, 17.52308, 81.48623 
313, 7, 4.27, 12.12, 17.55245, 81.49081 
314, 9, 4.04, 12.12, 17.52308, 81.48623 
315, 12, 3.8, 12.12, 17.5391, 81.48776 
316, 12, 3.72, 12.12, 17.55245, 81.52286 
317, 12, 3.89, 12.12, 17.50973, 81.53201 
318, 12, 3.99, 12.11, 17.50973, 81.57321 
319, 12, 4.07, 12.11, 17.5391, 81.60983 
320, 13, 4.18, 12.11, 17.52308, 81.57474 
321, 12, 4.57, 12.11, 17.5391, 81.60983 
322, 10, 4.89, 12.1, 17.52308, 81.6373 
323, 7, 5.22, 12.1, 17.52308, 81.6373 
324, 5, 5.59, 12.09, 17.52308, 81.60525 
325, 2, 5.92, 12.09, 17.52308, 81.65713 
326, 2, 6.08, 12.09, 17.5391, 81.68002 
327, 2, 6.05, 12.1, 17.52308, 81.6373 
328, 2, 6.09, 12.1, 17.52308, 81.6373 
329, 2, 6.09, 12.11, 17.52308, 81.66629 
330, 2, 6.03, 12.11, 17.50973, 81.62356 
331, 2, 5.93, 12.1, 17.49638, 81.65103 
332, 2, 5.94, 12.11, 17.52308, 81.66629 
333, 2, 5.93, 12.1, 17.50973, 81.65256 
334, 2, 5.92, 12.11, 17.52308, 81.65713 
335, 2, 5.95, 12.1, 17.52308, 81.68765 
336, 2, 5.96, 12.1, 17.5391, 81.66018 
337, 2, 5.94, 12.1, 17.50973, 81.61441 
338, 2, 5.88, 12.09, 17.52308, 81.62509 
339, 2, 5.87, 12.08, 17.50973, 81.6434 
340, 2, 5.85, 12.08, 17.52308, 81.62509 
341, 2, 5.86, 12.08, 17.50973, 81.61441 
342, 2, 5.84, 12.08, 17.52308, 81.61593 
343, 2, 5.89, 12.07, 17.50973, 81.61441 
344, 2, 5.85, 12.07, 17.5391, 81.63882 
345, 3, 5.82, 12.07, 17.49638, 81.62967 
346, 3, 5.79, 12.06, 17.52308, 81.65713 
347, 3, 5.78, 12.06, 17.52308, 81.66629 
348, 3, 5.78, 12.06, 17.49638, 81.65103 
349, 3, 5.82, 12.06, 17.50973, 81.66476 
350, 2, 5.83, 12.06, 17.48302, 81.68765 
351, 2, 5.86, 12.05, 17.5391, 81.68918 
352, 2, 5.85, 12.06, 17.49638, 81.69223 
353, 3, 5.81, 12.06, 17.49638, 81.70138 
354, 3, 5.8, 12.07, 17.48302, 81.6785 
355, 3, 5.8, 12.07, 17.50973, 81.70291 
356, 3, 5.81, 12.07, 17.50973, 81.68307 
357, 3, 5.83, 12.07, 17.49638, 81.71054 
358, 3, 5.84, 12.07, 17.50973, 81.71512 
359, 3, 5.79, 12.08, 17.48302, 81.69833 
360, 3, 5.77, 12.08, 17.48302, 81.70749 
361, 3, 5.74, 12.07, 17.50973, 81.73495 
362, 3, 5.76, 12.07, 17.49638, 81.72122 
363, 3, 5.81, 12.07, 17.48302, 81.72885 
364, 3, 5.56, 12.07, 17.49638, 81.72122 
365, 5, 5.25, 12.07, 17.49638, 81.75174 
366, 7, 4.94, 12.07, 17.48302, 81.68765 
367, 10, 4.58, 12.07, 17.50973, 81.72427 
368, 13, 4.24, 12.07, 17.48302, 81.69833 
