ID, Amp, Shift, Voltage, Temp, Humidity 
123,10101,6.73,12.33,17.5391,68.94331
124,10093,6.73,12.32,17.55245,68.91432
125,10108,6.73,12.32,17.5391,68.89143
126,10106,6.73,12.32,17.52308,68.92043
127,10090,6.73,12.32,17.5391,68.87007
128,10090,6.73,12.32,17.5391,68.84108
129,10066,6.73,12.32,17.5391,68.84108
130,10069,6.73,12.32,17.52308,68.78615
131,10105,6.73,12.32,17.5658,68.84566
132,10107,6.73,12.32,17.55245,68.83193
133,10124,6.73,12.33,17.5391,68.80904
134,10130,6.73,12.33,17.5391,68.80904
135,10132,6.73,12.33,17.52308,68.81514
136,10109,6.73,12.34,17.52308,68.85939
137,10125,6.73,12.34,17.5391,68.85024
138,10095,6.73,12.34,17.52308,68.88838
139,10081,6.73,12.33,17.5391,68.88228
140,10087,6.73,12.33,17.49638,68.89601
141,10084,6.73,12.33,17.50973,68.90669
142,10065,6.73,12.33,17.5391,68.91127
143,10071,6.73,12.33,17.52308,68.88838
144,10054,6.73,12.33,17.5391,68.92348
145,10059,6.73,12.33,17.52308,68.92958
146,10065,6.73,12.33,17.52308,68.90059
147,10060,6.73,12.33,17.52308,68.98299
148,10090,6.73,12.33,17.52308,68.90059
149,10103,6.73,12.34,17.50973,68.96925
150,10067,6.73,12.34,17.50973,68.94789
151,10049,6.73,12.34,17.48302,68.97536
152,10065,6.73,12.34,17.50973,68.97994
153,10061,6.73,12.34,17.5391,68.97536
154,10076,6.73,12.34,17.50973,69.02113
155,10064,6.73,12.33,17.52308,69.03487
156,10085,6.73,12.34,17.5391,69.02571
157,10090,6.73,12.34,17.52308,69.00282
158,10078,6.73,12.34,17.50973,69.03334
159,10087,6.73,12.34,17.5391,69.02571
160,10117,6.73,12.33,17.50973,69.01198
161,10113,6.73,12.33,17.50973,69.03334
162,10088,6.73,12.32,17.50973,68.98909
163,10091,6.73,12.32,17.50973,68.97994
164,10085,6.73,12.32,17.50973,69.01198
165,10092,6.73,12.31,17.49638,69.01045
166,10074,6.73,12.3,17.52308,69.01503
167,10049,6.73,12.3,17.49638,68.99825
168,10059,6.73,12.3,17.50973,69.02113
169,10047,6.73,12.29,17.50973,69.02113
170,10035,6.73,12.3,17.50973,69.02113
171,10055,6.73,12.29,17.49638,69.01961
172,10079,6.73,12.29,17.50973,69.03334
173,10078,6.73,12.29,17.49638,68.99825
174,10082,6.73,12.3,17.49638,69.01045
175,10068,6.73,12.3,17.50973,68.96925
176,10084,6.73,12.31,17.50973,69.0013
177,10102,6.73,12.31,17.52308,68.98299
178,10065,6.73,12.31,17.48302,68.96468
179,10065,6.73,12.32,17.49638,68.95705
180,10074,6.73,12.31,17.50973,68.94789
181,10074,6.73,12.31,17.50973,68.92806
182,10077,6.73,12.31,17.49638,68.925
183,10069,6.73,12.31,17.49638,68.88381
184,10074,6.73,12.31,17.50973,68.89754
185,10084,6.73,12.31,17.48302,68.91432
186,10083,6.72,12.3,17.49638,68.89601
187,10086,6.72,12.3,17.49638,68.89601
188,10123,6.72,12.29,17.48302,68.88228
189,10121,6.72,12.29,17.50973,68.86549
190,10128,6.72,12.3,17.49638,68.86397
191,10098,6.72,12.29,17.50973,68.86549
192,10094,6.72,12.29,17.49638,68.82277
193,10081,6.72,12.3,17.49638,68.82277
194,10063,6.72,12.3,17.49638,68.82277
195,10033,6.73,12.3,17.48302,68.80904
196,10045,6.73,12.3,17.50973,68.83345
197,10049,6.73,12.3,17.50973,68.77242
198,10025,6.73,12.3,17.49638,68.78157
199,10049,6.73,12.29,17.48302,68.73732
200,10040,6.73,12.29,17.49638,68.78157
201,10043,6.73,12.29,17.50973,68.71901
202,10035,6.73,12.29,17.49638,68.74953
203,10048,6.72,12.29,17.48302,68.66408
204,10065,6.72,12.29,17.49638,68.69612
205,10089,6.72,12.29,17.48302,68.67323
206,10060,6.72,12.29,17.49638,68.70833
207,10054,6.72,12.29,17.49638,68.70833
208,10070,6.72,12.29,17.50973,68.69002
209,10035,6.72,12.29,17.49638,68.66713
210,10042,6.72,12.3,17.49638,68.69612
211,10074,6.72,12.3,17.50973,68.66866
212,10080,6.72,12.3,17.49638,68.65492
213,10080,6.72,12.3,17.49638,68.67629
214,10081,6.72,12.3,17.48302,68.67323
215,10092,6.72,12.3,17.48302,68.6534
216,10122,6.72,12.31,17.46967,68.65035
217,10124,6.72,12.31,17.48302,68.64424
218,10123,6.72,12.31,17.50973,68.62746
219,10164,6.72,12.32,17.48302,68.58016
220,10148,6.72,12.31,17.46967,68.58931
221,10146,6.72,12.31,17.49638,68.61372
222,10146,6.72,12.31,17.48302,68.6122
223,10151,6.72,12.3,17.48302,68.6122
224,10133,6.72,12.3,17.49638,68.61372
225,10127,6.72,12.3,17.48302,68.6122
226,10127,6.72,12.3,17.49638,68.61372
227,10131,6.72,12.3,17.50973,68.62746
228,10133,6.72,12.3,17.48302,68.59084
229,10109,6.72,12.3,17.48302,68.60304
230,10114,6.72,12.3,17.49638,68.60457
231,10112,6.72,12.31,17.49638,68.62593
232,10100,6.72,12.32,17.48302,68.6122
233,10101,6.72,12.31,17.49638,68.59389
234,10111,6.72,12.32,17.48302,68.64424
235,10084,6.72,12.32,17.49638,68.62593
236,10068,6.72,12.31,17.48302,68.58016
237,10041,6.72,12.32,17.49638,68.59389
238,10035,6.72,12.32,17.48302,68.62288
239,10055,6.72,12.32,17.48302,68.60304
240,10061,6.72,12.32,17.49638,68.59389
241,10023,6.72,12.32,17.49638,68.61372
242,10041,6.72,12.32,17.48302,68.59084
